"operation","impl","n","dim","reps","total_secs","per_op_ms"
"single_insert","rszvec",300,128,300,0.0279999999999996,0.0933333333333319
"single_insert","rzvec",300,128,300,0.0499999999999998,0.166666666666666
"bulk_insert","rszvec",500,128,500,0.0309999999999997,0.0619999999999994
"bulk_insert","rzvec",500,128,500,0.0500000000000007,0.100000000000001
"bulk_insert","rszvec",2000,128,2000,0.151999999999999,0.0759999999999996
"bulk_insert","rzvec",2000,128,2000,0.146000000000001,0.0730000000000004
"bulk_insert","rszvec",5000,128,5000,0.32,0.0640000000000001
"bulk_insert","rzvec",5000,128,5000,0.329000000000001,0.0658000000000001
"search","rszvec",1000,128,100,0.0719999999999992,0.719999999999992
"search","rzvec",1000,128,100,0.046999999999997,0.46999999999997
"search","rszvec",10000,128,100,0.0909999999999975,0.909999999999975
"search","rzvec",10000,128,100,0.0620000000000012,0.620000000000012
"search","rszvec",50000,128,100,0.158000000000001,1.58000000000001
"search","rzvec",50000,128,100,0.132000000000001,1.32000000000001
"single_insert","zvec_py",300,128,300,0.006634,0.022112
"bulk_insert","zvec_py",500,128,500,0.0064,0.012799
"bulk_insert","zvec_py",2000,128,2000,0.01959,0.009795
"bulk_insert","zvec_py",5000,128,5000,0.043633,0.008727
"search","zvec_py",1000,128,100,0.023952,0.239515
"search","zvec_py",10000,128,100,0.023645,0.236452
"search","zvec_py",50000,128,100,0.120192,1.201917
